path,bytes,sha256,modified_utc,provenance
data/raw/byelections/byelections_Gauteng_vd_party.csv,186232,4ac73c5db66d0bfceb8a423be7b3ba7ba99e21c0679cb5c49b627f83e8637e2a,2026-08-01T15:09:54Z,"results.elections.org.za by-election dashboard MapsJason, via src/fetch_byelections.py"
data/raw/byelections/byelections_SA_vd_party.csv,1237210,0d58e2298d20432626acd9e4c8f6aab26bcd983637d8130cb578746d99f274c2,2026-08-07T09:49:18Z,"results.elections.org.za by-election dashboard MapsJason, via src/fetch_byelections.py"
data/raw/covariates/Languages by Municipalities Census 2022.xls,56832,61f5371e78e51e8565b8b41b2490f626fd1005efdb6476ec9ee02020de2d4ec1,2026-08-24T08:58:42Z,"Stats SA User Information Services, emailed 2026-08-24 (SuperCROSS extract, municipality level)"
data/raw/covariates/Ward Product_Locked spreadsheets/PP_Age Group_27-10-2025.xlsx,1179506,eff23feb6406cb2fdfab051b459a8d286b1b640919f276f074e81e75a5e7232f,2025-10-27T11:38:14Z,unpacked from statssa.gov.za Ward-Product_Locked-spreadsheets.zip
data/raw/covariates/Ward Product_Locked spreadsheets/PP_Population Group_27-10-2025.xlsx,411126,edb858e7e3555eb58021f715b05a31a6d89ce318aea38b53f17ad9371b1cf0e3,2025-10-27T11:37:58Z,unpacked from statssa.gov.za Ward-Product_Locked-spreadsheets.zip
data/raw/covariates/Ward Product_Locked spreadsheets/PP_Sex_27-10-2025.xlsx,286724,31cd98ab24d862fa93133f8e7b73111909ba8b4495536c669dec3d07a7ae8761,2025-10-27T10:09:32Z,unpacked from statssa.gov.za Ward-Product_Locked-spreadsheets.zip
data/raw/covariates/Ward-Product_Locked-spreadsheets.zip,1865768,d8eae4732557228d08fdf1d2ff2f5077ee55454185d489931213b1896a0a617a,2026-08-01T22:05:34Z,statssa.gov.za Ward-level Small Area Population Estimates 2022
data/raw/covariates/Ward-statistical-product-technical-note.pdf,519560,1af54aa87826af9ffb6348547559777d1d60eb441c0a68eacf2d0b8acaaf527f,2026-08-01T22:05:34Z,statssa.gov.za ward product technical note
data/raw/elections/_metros/lge2021_BUF_vd_party.csv,2143452,7413b07222ae64076c81302d9a1a4606d40174ebf20ba0104e2c16ba1806ddd5,2026-08-10T07:37:14Z,"results.elections.org.za LGEPublicReports Downloadable Party Results per metro, via src/fetch_iec.py (all-metro sweep)"
data/raw/elections/_metros/lge2021_CPT_vd_party.csv,9894016,2fbc2cf33a6bab2aa37c671faac720a143bd5d3f45f864ace131a0b037ce5b6b,2026-08-10T07:37:13Z,"results.elections.org.za LGEPublicReports Downloadable Party Results per metro, via src/fetch_iec.py (all-metro sweep)"
